Run,Val_Accuracy,Val_F1,Test_Accuracy,Test_F1
1,0.23333333333333334,0.10353447273572841,0.21333333333333335,0.0881542699724518
2,0.33666666666666667,0.2949975848648695,0.36666666666666664,0.3472589673828064
3,0.5433333333333333,0.503416953245953,0.5733333333333334,0.5443573686536761
4,0.5566666666666666,0.5438040869027948,0.5033333333333333,0.47980791412885754
5,0.5566666666666666,0.5284280513856547,0.5433333333333333,0.5312558708736423

Médias,0.4453333333333333,0.3948362298270001,-,-
