Run,Val_Accuracy,Val_F1,Test_Accuracy,Test_F1
1,0.956,0.9559992959887358,0.8941993464052288,0.8940260271644049
2,0.96,0.9599974398361495,0.8954248366013072,0.8952832969399479
3,0.956,0.9559992959887358,0.8913398692810458,0.89112002734172
4,0.946,0.9459738513440505,0.8766339869281046,0.8758543143420024
5,0.958,0.9579984879455661,0.8921568627450981,0.8919306506849315

Médias,0.9551999999999999,0.9551936742206475,-,-
